0,1
Afoma Eguh Okafor (Dem)State House Dist 71,GSL071DOKA
Al Williams (I)(Dem)State House - District 168,GSL168DWIL
Alan Powell (I) (Rep)State House Of Representatives - District 33,GSL033RPOW
Alisha Thomas Searcy (Dem)State School Superintendent,G22SUPDSEA
Andrew Clyde (I) (Rep)Us House Dist 9,GCON09RCLY
Andrew Danielson (Rep)State Senate - District 22,GSU22RDAN
Andrew Ferguson (Dem)State Senate - District 46,GSU46DFER
Angela Moore (I) (Dem)State House Of Representatives - District 91,GSL091DMOO
Anna J. Tillman (Rep)State House Of Representatives - District 43,GSL043RTIL
Anne Allen Westbrook (Dem)State House Of Representatives - District 163,GSL163DWES
Anthony Dickson (Dem)State House Of Representatives - District 134,GSL134DDIC
Antonio Daza (Dem)Us House Dist 11,GCON11DDAZ
Ariel Phillips (Dem)State House Of Representatives - District 147,GSL147DPHI
Austin McDonald (Rep)State Senate - District 40,GSU40RMCD
Austin Scott (I) (Rep)Us House Of Representatives - District 8,GCON08RSCO
Barry Fleming (I) (Rep)State House Of Representatives - District 125,GSL125RFLE
Barry Loudermilk (I) (Rep)Us House Dist 11,GCON11RLOU
Becky Evans (I) (Dem)State House Of Representatives - District 89,GSL089DEVA
Bee Nguyen (Dem)Secretary Of State,G22SOSDNGU
Ben Watson (I) (Rep)State Senate - District 1,GSU01RWAT
Beth Camp (I) (Rep)State House Dist 135,GSL135RCAM
Bethany Ballard (Rep)State House Of Representatives - District 147,GSL147RBAL
Betsy Holland (I) (Dem)State House Dist 54,GSL054DHOL
Bill Cowsert (I) (Rep)State Senate - District 46,GSU46RCOW
Bill Hitchens (I) (Rep)State House - District 161,GSL161RHIT
Bill Yearta (I) (Rep)State House Of Representatives - District 152,GSL152RYEA
Billy Hickman (I) (Rep)State Senate - District 4,GSU04RHIC
Billy Mitchell (I) (Dem)State House Of Representatives - District 88,GSL088DMIT
Blake Tillery (I) (Rep)State Senate - District 19,GSU19RTIL
Bo Hatchett (I) (Rep)State Senate - District 50,GSU50RHAT
Bob Christian (Dem)Us House Dist 6,GCON06DCHR
Brad Raffensperger (I) (Rep)Secretary Of State,G22SOSRRAF
Brad Thomas (I) (Rep)State House Dist 21,GSL021RTHO
Brandon Beach (I) (Rep)State Senate Dist 21,GSU21RBEA
Brent Binion (Dem)State Senate Dist 27,GSU27DBIN
Brent Cox (Rep)State House Dist 28,GSL028RCOX
Brian Anderson (Rep)State House Of Representatives - District 80,GSL080RAND
Brian Kemp (I) (Rep)Governor,G22GOVRKEM
Brian L. Prince (I) (Dem)State House Of Representatives - District 132,GSL132DPRI
Brian Strickland (I) (Rep)State Senate - District 17,GSU17RSTR
Bruce Bennington (Rep)State House Dist 116,GSL116RBEN
Bruce Thompson (Rep)Commissioner Of Labor,G22LABRTHO
Bruce Williamson (I) (Rep)State House Of Representatives - District 112,GSL112RWIL
