UNIQUE_ID,COUNTYFP,county,precinct,R22USSDWAR,R22USSRWAL
001-1B,001,Appling,1B,68,688
001-1C,001,Appling,1C,42,540
001-2,001,Appling,2,661,351
001-3A1,001,Appling,3A1,19,466
001-3C,001,Appling,3C,208,682
001-4B,001,Appling,4B,20,560
001-4D,001,Appling,4D,84,759
001-5A,001,Appling,5A,70,498
001-5B,001,Appling,5B,50,499
003-Axson,003,Atkinson,Axson,17,325
003-Pearson City,003,Atkinson,Pearson City,188,108
003-Pearson County,003,Atkinson,Pearson County,90,713
003-Willacoochee,003,Atkinson,Willacoochee,190,378
005-Douglas,005,Bacon,Douglas,441,3047
007-Anna,007,Baker,Anna,131,133
007-Elmodel,007,Baker,Elmodel,54,135
007-Hoggards Mill,007,Baker,Hoggards Mill,147,88
007-Milford,007,Baker,Milford,67,177
007-Newton,007,Baker,Newton,82,118
009-Boddie,009,Baldwin,Boddie,344,80
009-City Hall Annex,009,Baldwin,City Hall Annex,215,72
009-Coopers,009,Baldwin,Coopers,253,619
009-Courthouse,009,Baldwin,Courthouse,101,65
009-East Baldwin,009,Baldwin,East Baldwin,956,1258
009-East Hardwick,009,Baldwin,East Hardwick,371,87
009-Meriwether,009,Baldwin,Meriwether,687,1113
009-North Baldwin,009,Baldwin,North Baldwin,641,1555
009-North Milledgeville,009,Baldwin,North Milledgeville,674,591
009-Scottboro,009,Baldwin,Scottboro,194,322
009-South Milledgeville,009,Baldwin,South Milledgeville,425,81
009-West Baldwin,009,Baldwin,West Baldwin,500,605
009-West Hardwick,009,Baldwin,West Hardwick,1083,283
009-West Thomas,009,Baldwin,West Thomas,563,123
011-Anderson,011,Banks,Anderson,88,692
011-Baldwin,011,Banks,Baldwin,70,383
011-Berlin,011,Banks,Berlin,32,268
011-Bushville,011,Banks,Bushville,42,388
011-Columbia,011,Banks,Columbia,13,194
011-Davids,011,Banks,Davids,106,795
011-Golden Hill,011,Banks,Golden Hill,49,356
011-Grove River,011,Banks,Grove River,15,303
011-Hollingsworth,011,Banks,Hollingsworth,41,319
011-Homer,011,Banks,Homer,69,664
011-Poplar Springs,011,Banks,Poplar Springs,87,832
011-Washington,011,Banks,Washington,53,333
011-Wilmonts,011,Banks,Wilmonts,33,301
013-01,013,Barrow,01,393,1190
013-02,013,Barrow,02,733,2942
013-03,013,Barrow,03,708,1996
013-04,013,Barrow,04,362,1205
013-05,013,Barrow,05,1321,3028
013-08,013,Barrow,08,870,2700
013-13,013,Barrow,13,1689,2622
013-16,013,Barrow,16,1377,2262
015-Adairsville,015,Bartow,Adairsville,724,2677
015-Allatoona,015,Bartow,Allatoona,509,1319
015-Cartersville East,015,Bartow,Cartersville East,997,1858
015-Cartersville West,015,Bartow,Cartersville West,1259,3024
015-Cassville,015,Bartow,Cassville,564,1358
015-Center,015,Bartow,Center,407,1754
015-Emerson,015,Bartow,Emerson,333,1173
015-Euharlee,015,Bartow,Euharlee,586,2000
015-Folsom,015,Bartow,Folsom,91,649
015-Hamilton Crossing,015,Bartow,Hamilton Crossing,799,2384
015-Kingston,015,Bartow,Kingston,221,1204
015-Mission Road,015,Bartow,Mission Road,506,1461
015-Pine Log,015,Bartow,Pine Log,121,1085
015-Taylorsville,015,Bartow,Taylorsville,127,1412
015-White,015,Bartow,White,221,1267
015-Woodland,015,Bartow,Woodland,206,626
015-Zena Drive,015,Bartow,Zena Drive,879,1499
017-East,017,Ben Hill,East,1718,3022
019-Alapaha,019,Berrien,Alapaha,158,470
019-Enigma,019,Berrien,Enigma,57,439
019-Nashville,019,Berrien,Nashville,435,2519
019-Ray City,019,Berrien,Ray City,143,721
019-West Berrien,019,Berrien,West Berrien,50,557
021-East Macon 1,021,Bibb,East Macon 1,549,16
021-East Macon 2,021,Bibb,East Macon 2,1429,73
021-East Macon 3,021,Bibb,East Macon 3,1095,370
021-East Macon 4,021,Bibb,East Macon 4,933,38
021-East Macon 5,021,Bibb,East Macon 5,966,247
021-Godfrey 1,021,Bibb,Godfrey 1,1920,146
021-Godfrey 2,021,Bibb,Godfrey 2,515,48
021-Godfrey 3,021,Bibb,Godfrey 3,1007,72
021-Godfrey 4,021,Bibb,Godfrey 4,530,56
021-Godfrey 5,021,Bibb,Godfrey 5,1570,168
021-Hazzard 1,021,Bibb,Hazzard 1,1155,102
021-Hazzard 2,021,Bibb,Hazzard 2,1126,805
021-Hazzard 3,021,Bibb,Hazzard 3,2362,734
021-Hazzard 4,021,Bibb,Hazzard 4,1289,1614
021-Howard 1,021,Bibb,Howard 1,728,1314
021-Howard 2,021,Bibb,Howard 2,730,1334
021-Howard 3,021,Bibb,Howard 3,1539,1627
021-Howard 4,021,Bibb,Howard 4,443,366
021-Howard 5,021,Bibb,Howard 5,618,349
021-Howard 6,021,Bibb,Howard 6,536,607
021-Howard 7,021,Bibb,Howard 7,740,1026
021-Rutland 1,021,Bibb,Rutland 1,1529,1836
021-Rutland 2,021,Bibb,Rutland 2,698,1114
