"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"US Senate (Vote For 1)","Herschel Junior Walker (Rep)","",1908442,48.49,212159,3963901,159,159,"0","48"
2,"US Senate (Vote For 1)","Raphael Warnock (I) (Dem)","",1946117,49.44,212159,3963901,159,159,"0","48"
3,"US Senate (Vote For 1)","Chase Oliver (Lib)","",81365,2.07,212159,3963901,159,159,"0","48"
4,"Governor (Vote For 1)","Brian Kemp (I) (Rep)","",2111572,53.41,212159,3963901,159,159,"0","13"
5,"Governor (Vote For 1)","Stacey Abrams (Dem)","",1813673,45.88,212159,3963901,159,159,"0","13"
6,"Governor (Vote For 1)","Shane Hazel (Lib)","",28163,0.71,212159,3963901,159,159,"0","13"
7,"Lieutenant Governor (Vote For 1)","Burt Jones (Rep)","",2009617,51.39,212159,3963901,159,159,"0","154"
8,"Lieutenant Governor (Vote For 1)","Charlie Bailey (Dem)","",1815524,46.43,212159,3963901,159,159,"0","154"
9,"Lieutenant Governor (Vote For 1)","Ryan Graham (Lib)","",85207,2.18,212159,3963901,159,159,"0","154"
10,"Secretary of State (Vote For 1)","Brad Raffensperger (I) (Rep)","",2081241,53.23,212159,3963901,159,159,"0","152"
11,"Secretary of State (Vote For 1)","Bee Nguyen (Dem)","",1719922,43.99,212159,3963901,159,159,"0","152"
12,"Secretary of State (Vote For 1)","Ted Metz (Lib)","",108884,2.78,212159,3963901,159,159,"0","152"
13,"Attorney General (Vote For 1)","Chris Carr (I) (Rep)","",2032500,51.86,212159,3963901,159,159,"0","118"
14,"Attorney General (Vote For 1)","Jennifer """"Jen"""" Jordan (Dem)","",1826437,46.60,212159,3963901,159,159,"0","118"
15,"Attorney General (Vote For 1)","Martin Cowen (Lib)","",60107,1.53,212159,3963901,159,159,"0","118"
16,"Commissioner of Agriculture (Vote For 1)","Tyler Harper (Rep)","",2068892,52.97,212159,3963901,159,159,"0","111"
17,"Commissioner of Agriculture (Vote For 1)","Nakita Hemingway (Dem)","",1751214,44.84,212159,3963901,159,159,"0","111"
18,"Commissioner of Agriculture (Vote For 1)","David Raudabaugh (Lib)","",85656,2.19,212159,3963901,159,159,"0","111"
19,"Commissioner of Insurance (Vote For 1)","John King (I) (Rep)","",2107388,54.10,212159,3963901,159,159,"0","134"
20,"Commissioner of Insurance (Vote For 1)","Janice Laws Robinson (Dem)","",1788136,45.90,212159,3963901,159,159,"0","134"
21,"State School Superintendent (Vote For 1)","Richard Woods (I) (Rep)","",2115728,54.19,212159,3963901,159,159,"0","121"
22,"State School Superintendent (Vote For 1)","Alisha Thomas Searcy (Dem)","",1788671,45.81,212159,3963901,159,159,"0","121"
23,"Commissioner of Labor (Vote For 1)","Bruce Thompson (Rep)","",2030170,52.08,212159,3963901,159,159,"0","122"
24,"Commissioner of Labor (Vote For 1)","William """"Will"""" Boddie, Jr (Dem)","",1766894,45.33,212159,3963901,159,159,"0","122"
